Namespace(backbone='resnet50', batch_size=32, config='DANN/DANN.yaml', data_dir='/data/lisongze/data/office31', device=device(type='cuda'), early_stop=0, epoch_based_training=False, lr=0.01, lr_decay=0.75, lr_gamma=0.001, lr_scheduler=True, momentum=0.9, n_epoch=20, n_iter_per_epoch=500, num_workers=3, seed=1, src_domain='webcam', tgt_domain='amazon', transfer_loss='adv', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.001)
Epoch: [ 1/20], cls_loss: 0.2857, transfer_loss: 0.4558, total_Loss: 0.7415, test_loss 1.529344, test_acc: 64.6787
Epoch: [ 2/20], cls_loss: 0.0057, transfer_loss: 0.1384, total_Loss: 0.1441, test_loss 1.536260, test_acc: 64.9627
Epoch: [ 3/20], cls_loss: 0.0043, transfer_loss: 0.0796, total_Loss: 0.0839, test_loss 1.534256, test_acc: 65.4952
Epoch: [ 4/20], cls_loss: 0.0036, transfer_loss: 0.0642, total_Loss: 0.0677, test_loss 1.519544, test_acc: 65.8857
Epoch: [ 5/20], cls_loss: 0.0037, transfer_loss: 0.0762, total_Loss: 0.0799, test_loss 1.550863, test_acc: 65.7082
Epoch: [ 6/20], cls_loss: 0.0041, transfer_loss: 0.1060, total_Loss: 0.1100, test_loss 1.561887, test_acc: 66.4537
Epoch: [ 7/20], cls_loss: 0.0048, transfer_loss: 0.1412, total_Loss: 0.1460, test_loss 1.526821, test_acc: 66.6312
Epoch: [ 8/20], cls_loss: 0.0063, transfer_loss: 0.1939, total_Loss: 0.2002, test_loss 1.544207, test_acc: 66.9507
Epoch: [ 9/20], cls_loss: 0.0087, transfer_loss: 0.2631, total_Loss: 0.2718, test_loss 1.535691, test_acc: 67.9091
Epoch: [10/20], cls_loss: 0.0123, transfer_loss: 0.3370, total_Loss: 0.3493, test_loss 1.561877, test_acc: 68.4061
Epoch: [11/20], cls_loss: 0.0136, transfer_loss: 0.3886, total_Loss: 0.4022, test_loss 1.629720, test_acc: 68.2641
Epoch: [12/20], cls_loss: 0.0163, transfer_loss: 0.4365, total_Loss: 0.4528, test_loss 1.691202, test_acc: 69.2226
Epoch: [13/20], cls_loss: 0.0192, transfer_loss: 0.4955, total_Loss: 0.5147, test_loss 1.720762, test_acc: 69.6486
Epoch: [14/20], cls_loss: 0.0177, transfer_loss: 0.5232, total_Loss: 0.5409, test_loss 1.790893, test_acc: 69.8616
Epoch: [15/20], cls_loss: 0.0179, transfer_loss: 0.5524, total_Loss: 0.5703, test_loss 1.795008, test_acc: 70.2875
Epoch: [16/20], cls_loss: 0.0154, transfer_loss: 0.5599, total_Loss: 0.5753, test_loss 1.956826, test_acc: 69.8970
Epoch: [17/20], cls_loss: 0.0152, transfer_loss: 0.5789, total_Loss: 0.5941, test_loss 1.918469, test_acc: 70.0390
Epoch: [18/20], cls_loss: 0.0144, transfer_loss: 0.5951, total_Loss: 0.6095, test_loss 2.008668, test_acc: 69.7196
Epoch: [19/20], cls_loss: 0.0145, transfer_loss: 0.6097, total_Loss: 0.6242, test_loss 2.045728, test_acc: 69.9325
Epoch: [20/20], cls_loss: 0.0150, transfer_loss: 0.6181, total_Loss: 0.6331, test_loss 2.066242, test_acc: 69.6131
Transfer result: 70.2875
