Namespace(backbone='resnet50', batch_size=32, config='DANN/DANN.yaml', data_dir='/data/lisongze/data/office31', device=device(type='cuda'), early_stop=0, epoch_based_training=False, lr=0.01, lr_decay=0.75, lr_gamma=0.001, lr_scheduler=True, momentum=0.9, n_epoch=20, n_iter_per_epoch=500, num_workers=3, seed=1, src_domain='webcam', tgt_domain='dslr', transfer_loss='adv', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.001)
Epoch: [ 1/20], cls_loss: 0.2877, transfer_loss: 0.5804, total_Loss: 0.8681, test_loss 0.022500, test_acc: 99.5984
Epoch: [ 2/20], cls_loss: 0.0058, transfer_loss: 0.3334, total_Loss: 0.3392, test_loss 0.014856, test_acc: 100.0000
Epoch: [ 3/20], cls_loss: 0.0045, transfer_loss: 0.3163, total_Loss: 0.3208, test_loss 0.010103, test_acc: 100.0000
Epoch: [ 4/20], cls_loss: 0.0042, transfer_loss: 0.3555, total_Loss: 0.3597, test_loss 0.011473, test_acc: 100.0000
Epoch: [ 5/20], cls_loss: 0.0043, transfer_loss: 0.3995, total_Loss: 0.4038, test_loss 0.018239, test_acc: 99.5984
Epoch: [ 6/20], cls_loss: 0.0045, transfer_loss: 0.4005, total_Loss: 0.4050, test_loss 0.046099, test_acc: 98.7952
Epoch: [ 7/20], cls_loss: 0.0051, transfer_loss: 0.4356, total_Loss: 0.4407, test_loss 0.073811, test_acc: 97.3896
Epoch: [ 8/20], cls_loss: 0.0059, transfer_loss: 0.4491, total_Loss: 0.4550, test_loss 0.152207, test_acc: 95.7831
Epoch: [ 9/20], cls_loss: 0.0070, transfer_loss: 0.4779, total_Loss: 0.4848, test_loss 0.228471, test_acc: 94.7791
Epoch: [10/20], cls_loss: 0.0079, transfer_loss: 0.5131, total_Loss: 0.5209, test_loss 0.331223, test_acc: 92.7711
Epoch: [11/20], cls_loss: 0.0083, transfer_loss: 0.5479, total_Loss: 0.5562, test_loss 0.467409, test_acc: 90.7630
Epoch: [12/20], cls_loss: 0.0090, transfer_loss: 0.5710, total_Loss: 0.5801, test_loss 0.496110, test_acc: 90.7630
Epoch: [13/20], cls_loss: 0.0089, transfer_loss: 0.5911, total_Loss: 0.6000, test_loss 0.558932, test_acc: 89.7590
Epoch: [14/20], cls_loss: 0.0083, transfer_loss: 0.6058, total_Loss: 0.6141, test_loss 0.658258, test_acc: 87.5502
Epoch: [15/20], cls_loss: 0.0079, transfer_loss: 0.6167, total_Loss: 0.6246, test_loss 0.709656, test_acc: 86.9478
Epoch: [16/20], cls_loss: 0.0077, transfer_loss: 0.6254, total_Loss: 0.6331, test_loss 0.823528, test_acc: 85.7430
Epoch: [17/20], cls_loss: 0.0075, transfer_loss: 0.6313, total_Loss: 0.6388, test_loss 0.809292, test_acc: 85.5422
Epoch: [18/20], cls_loss: 0.0077, transfer_loss: 0.6437, total_Loss: 0.6514, test_loss 0.943279, test_acc: 84.7390
Epoch: [19/20], cls_loss: 0.0074, transfer_loss: 0.6495, total_Loss: 0.6569, test_loss 0.943282, test_acc: 84.7390
Epoch: [20/20], cls_loss: 0.0066, transfer_loss: 0.6548, total_Loss: 0.6614, test_loss 1.026375, test_acc: 84.5381
Transfer result: 100.0000
