Namespace(backbone='resnet50', batch_size=32, config='DANN/source-only.yaml', data_dir='/data/lisongze/data/office31', device=device(type='cuda'), early_stop=0, epoch_based_training=False, lr=0.01, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True, momentum=0.9, n_epoch=20, n_iter_per_epoch=500, num_workers=3, seed=1, src_domain='dslr', tgt_domain='webcam', transfer_loss='daan', transfer_loss_weight=0.0, use_bottleneck=True, weight_decay=0.0005)
Epoch: [ 1/20], cls_loss: 0.2565, transfer_loss: 0.1282, total_Loss: 0.2565, test_loss 0.110472, test_acc: 97.3585
Epoch: [ 2/20], cls_loss: 0.0040, transfer_loss: 0.1306, total_Loss: 0.0040, test_loss 0.103334, test_acc: 97.7358
Epoch: [ 3/20], cls_loss: 0.0024, transfer_loss: 0.1304, total_Loss: 0.0024, test_loss 0.098874, test_acc: 97.7358
Epoch: [ 4/20], cls_loss: 0.0019, transfer_loss: 0.1302, total_Loss: 0.0019, test_loss 0.092018, test_acc: 97.7358
Epoch: [ 5/20], cls_loss: 0.0017, transfer_loss: 0.1300, total_Loss: 0.0017, test_loss 0.100713, test_acc: 97.6101
Epoch: [ 6/20], cls_loss: 0.0015, transfer_loss: 0.1299, total_Loss: 0.0015, test_loss 0.100089, test_acc: 97.4843
Epoch: [ 7/20], cls_loss: 0.0015, transfer_loss: 0.1298, total_Loss: 0.0015, test_loss 0.089999, test_acc: 97.8616
Epoch: [ 8/20], cls_loss: 0.0014, transfer_loss: 0.1297, total_Loss: 0.0014, test_loss 0.092119, test_acc: 97.6101
Epoch: [ 9/20], cls_loss: 0.0013, transfer_loss: 0.1296, total_Loss: 0.0013, test_loss 0.092073, test_acc: 97.6101
Epoch: [10/20], cls_loss: 0.0013, transfer_loss: 0.1295, total_Loss: 0.0013, test_loss 0.089821, test_acc: 97.6101
Epoch: [11/20], cls_loss: 0.0013, transfer_loss: 0.1294, total_Loss: 0.0013, test_loss 0.093650, test_acc: 97.6101
Epoch: [12/20], cls_loss: 0.0014, transfer_loss: 0.1293, total_Loss: 0.0014, test_loss 0.099432, test_acc: 97.4843
Epoch: [13/20], cls_loss: 0.0012, transfer_loss: 0.1293, total_Loss: 0.0012, test_loss 0.092300, test_acc: 97.7358
Epoch: [14/20], cls_loss: 0.0013, transfer_loss: 0.1292, total_Loss: 0.0013, test_loss 0.096023, test_acc: 97.6101
Epoch: [15/20], cls_loss: 0.0012, transfer_loss: 0.1292, total_Loss: 0.0012, test_loss 0.094524, test_acc: 97.6101
Epoch: [16/20], cls_loss: 0.0012, transfer_loss: 0.1291, total_Loss: 0.0012, test_loss 0.096436, test_acc: 97.6101
Epoch: [17/20], cls_loss: 0.0012, transfer_loss: 0.1291, total_Loss: 0.0012, test_loss 0.093936, test_acc: 97.4843
Epoch: [18/20], cls_loss: 0.0012, transfer_loss: 0.1290, total_Loss: 0.0012, test_loss 0.089750, test_acc: 97.7358
Epoch: [19/20], cls_loss: 0.0012, transfer_loss: 0.1290, total_Loss: 0.0012, test_loss 0.094824, test_acc: 97.6101
Epoch: [20/20], cls_loss: 0.0012, transfer_loss: 0.1289, total_Loss: 0.0012, test_loss 0.093380, test_acc: 97.6101
Transfer result: 97.8616
